21:10:12 | rss_kb=11106992 | Index:   building|Memory:  10.4 GB (peak 19.6 GB)|busy:        warm-build (running 0h 35m 2s)|busy:        delta (running 0h 31m 17s)
21:10:28 | rss_kb=9971424 | Index:   building|Memory:  9.4 GB (peak 19.6 GB)|busy:        warm-build (running 0h 35m 17s)|busy:        delta (running 0h 31m 33s)
21:10:43 | rss_kb=8276064 | Index:   building|Memory:  8.4 GB (peak 19.6 GB)|busy:        warm-build (running 0h 35m 32s)|busy:        delta (running 0h 31m 48s)
21:10:58 | rss_kb=9905200 | Index:   building|Memory:  9.5 GB (peak 19.6 GB)|busy:        warm-build (running 0h 35m 47s)|busy:        delta (running 0h 32m 3s)
21:11:13 | rss_kb=8405168 | Index:   building|Memory:  8.0 GB (peak 19.6 GB)|busy:        warm-build (running 0h 36m 2s)|busy:        delta (running 0h 32m 18s)
21:11:28 | rss_kb=12140512 | Index:   building|Memory:  11.6 GB (peak 19.6 GB)|busy:        warm-build (running 0h 36m 18s)|busy:        delta (running 0h 32m 33s)
21:11:43 | rss_kb=12817696 | Index:   building|Memory:  12.2 GB (peak 19.6 GB)|busy:        warm-build (running 0h 36m 33s)|busy:        delta (running 0h 32m 48s)
21:11:59 | rss_kb=12916304 | Index:   building|Memory:  12.3 GB (peak 19.6 GB)|busy:        warm-build (running 0h 36m 48s)|busy:        delta (running 0h 33m 4s)
21:12:14 | rss_kb=13039440 | Index:   building|Memory:  12.4 GB (peak 19.6 GB)|busy:        warm-build (running 0h 37m 3s)|busy:        delta (running 0h 33m 19s)
21:12:29 | rss_kb=13160320 | Index:   building|Memory:  12.6 GB (peak 19.6 GB)|busy:        warm-build (running 0h 37m 18s)|busy:        delta (running 0h 33m 34s)
21:12:44 | rss_kb=13513888 | Index:   building|Memory:  12.9 GB (peak 19.6 GB)|busy:        warm-build (running 0h 37m 33s)|busy:        delta (running 0h 33m 49s)
21:12:59 | rss_kb=13636992 | Index:   building|Memory:  13.0 GB (peak 19.6 GB)|busy:        warm-build (running 0h 37m 48s)|busy:        delta (running 0h 34m 4s)
21:13:14 | rss_kb=13776496 | Index:   building|Memory:  13.1 GB (peak 19.6 GB)|busy:        warm-build (running 0h 38m 4s)|busy:        delta (running 0h 34m 19s)
21:13:29 | rss_kb=13920608 | Index:   building|Memory:  13.3 GB (peak 19.6 GB)|busy:        warm-build (running 0h 38m 19s)|busy:        delta (running 0h 34m 35s)
21:13:45 | rss_kb=14039296 | Index:   building|Memory:  13.4 GB (peak 19.6 GB)|busy:        warm-build (running 0h 38m 34s)|busy:        delta (running 0h 34m 50s)
21:14:00 | rss_kb=14088480 | Index:   building|Memory:  13.4 GB (peak 19.6 GB)|busy:        warm-build (running 0h 38m 49s)|busy:        delta (running 0h 35m 5s)
21:14:15 | rss_kb=16198464 | Index:   building|Memory:  15.4 GB (peak 19.6 GB)|busy:        warm-build (running 0h 39m 5s)|busy:        delta (running 0h 35m 20s)
21:14:30 | rss_kb=16198464 | Index:   building|Memory:  15.4 GB (peak 19.6 GB)|busy:        warm-build (running 0h 39m 20s)|busy:        delta (running 0h 35m 36s)
21:14:46 | rss_kb=16198464 | Index:   building|Memory:  15.4 GB (peak 19.6 GB)|busy:        warm-build (running 0h 39m 35s)|busy:        delta (running 0h 35m 51s)
21:15:01 | rss_kb=16198464 | Index:   building|Memory:  15.4 GB (peak 19.6 GB)|busy:        warm-build (running 0h 39m 51s)|busy:        delta (running 0h 36m 7s)
21:15:17 | rss_kb=16198464 | Index:   building|Memory:  15.4 GB (peak 19.6 GB)|busy:        warm-build (running 0h 40m 6s)|busy:        delta (running 0h 36m 22s)
21:15:32 | rss_kb=16196512 | Index:   building|Memory:  15.4 GB (peak 19.6 GB)|busy:        warm-build (running 0h 40m 21s)|busy:        delta (running 0h 36m 37s)
21:15:47 | rss_kb=16065600 | Index:   building|Memory:  15.3 GB (peak 19.6 GB)|busy:        warm-build (running 0h 40m 37s)|busy:        delta (running 0h 36m 52s)
21:16:02 | rss_kb=16057632 | Index:   building|Memory:  15.3 GB (peak 19.6 GB)|busy:        warm-build (running 0h 40m 53s)|busy:        delta (running 0h 37m 9s)
21:16:19 | rss_kb=15309136 | Index:   building|Memory:  14.6 GB (peak 19.6 GB)|busy:        warm-build (running 0h 41m 8s)|busy:        delta (running 0h 37m 24s)
21:16:34 | rss_kb=15299856 | Index:   building|Memory:  14.6 GB (peak 19.6 GB)|busy:        warm-build (running 0h 41m 23s)|busy:        delta (running 0h 37m 39s)
21:16:49 | rss_kb=15241360 | Index:   building|Memory:  14.5 GB (peak 19.6 GB)|busy:        warm-build (running 0h 41m 38s)|busy:        delta (running 0h 37m 54s)
21:17:04 | rss_kb=14752112 | Index:   building|Memory:  14.1 GB (peak 19.6 GB)|busy:        warm-build (running 0h 41m 55s)|busy:        delta (running 0h 38m 10s)
21:17:20 | rss_kb=13379328 | Index:   building|Memory:  12.8 GB (peak 19.6 GB)|busy:        warm-build (running 0h 42m 10s)|busy:        delta (running 0h 38m 26s)
21:17:36 | rss_kb=13502160 | Index:   building|Memory:  12.9 GB (peak 19.6 GB)|busy:        warm-build (running 0h 42m 25s)|busy:        delta (running 0h 38m 41s)
21:17:51 | rss_kb=13633536 | Index:   building|Memory:  13.0 GB (peak 19.6 GB)|busy:        warm-build (running 0h 42m 40s)|busy:        delta (running 0h 38m 56s)
